"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"2","0",1833,0.958682008368201
"3","0",4,0.00211752249867655
"5","0",3,0.00204778156996587
"6","0",9,0.00821167883211679
"8","0",1,0.00114285714285714
"9","0",2,0.00258064516129032
"10","0",18,0.0236530880420499
"12","0",42,0.0640243902439024
"13","0",4,0.00707964601769911
"14","0",302,0.596837944664032
"15","0",36,0.0740740740740741
"16","0",15,0.0321888412017167
"17","0",6,0.021505376344086
"20","0",65,0.419354838709677
"0","1",1845,0.867418899858956
"1","1",66,0.0345007841087297
"4","1",38,0.0246433203631647
"5","1",2,0.00136518771331058
"6","1",1,0.000912408759124088
"7","1",61,0.0671806167400881
"8","1",30,0.0342857142857143
"9","1",3,0.00387096774193548
"0","2",116,0.0545369064409967
"1","2",1527,0.798222686879247
"4","2",59,0.0382619974059663
"5","2",36,0.0245733788395904
"7","2",31,0.0341409691629956
"8","2",33,0.0377142857142857
"9","2",1,0.00129032258064516
"3","3",1688,0.893594494441503
"6","3",4,0.00364963503649635
"8","3",3,0.00342857142857143
"10","3",4,0.00525624178712221
"12","3",1,0.00152439024390244
"14","3",1,0.00197628458498024
"15","3",1,0.00205761316872428
"16","3",1,0.00214592274678112
"17","3",7,0.025089605734767
"18","3",1,0.00416666666666667
"1","4",28,0.014636696288552
"4","4",89,0.0577172503242542
"5","4",1104,0.75358361774744
"8","4",56,0.064
"9","4",65,0.0838709677419355
"10","4",1,0.00131406044678055
"12","4",2,0.00304878048780488
"13","4",1,0.00176991150442478
"14","4",162,0.320158102766798
"15","4",17,0.0349794238683128
"16","4",7,0.0150214592274678
"0","5",24,0.0112834978843441
"1","5",68,0.0355462624150549
"4","5",869,0.563553826199741
"5","5",149,0.101706484641638
"6","5",40,0.0364963503649635
"7","5",159,0.17511013215859
"8","5",5,0.00571428571428571
"9","5",8,0.0103225806451613
"10","5",1,0.00131406044678055
"12","5",1,0.00152439024390244
"16","5",15,0.0321888412017167
"17","5",1,0.003584229390681
