"round4_cluster","n_cells","round3_source","round3_cluster","round4_destination","fraction_of_moved_population"
"0",1,"Fibroblast","11","Mural",0.00142857142857143
"2",684,"Fibroblast","11","Mural",0.977142857142857
"5",2,"Fibroblast","11","Mural",0.00285714285714286
"6",3,"Fibroblast","11","Mural",0.00428571428571429
"11",9,"Fibroblast","11","Mural",0.0128571428571429
"12",1,"Fibroblast","11","Mural",0.00142857142857143
