"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"1","0",720,0.972972972972973
"2","0",592,0.961038961038961
"3","0",596,0.990033222591362
"5","0",2,0.00460829493087558
"6","0",1,0.00307692307692308
"7","0",39,0.166666666666667
"8","0",19,0.0875576036866359
"9","0",167,0.893048128342246
"10","0",15,0.0810810810810811
"11","0",1,0.00813008130081301
"0","1",728,0.964238410596026
"2","1",1,0.00162337662337662
"5","1",79,0.182027649769585
"6","1",294,0.904615384615385
"7","1",1,0.00427350427350427
"8","1",25,0.115207373271889
"11","1",11,0.0894308943089431
"12","1",43,0.405660377358491
"14","1",5,0.0862068965517241
"13","2",1,0.0108695652173913
"14","2",2,0.0344827586206897
"0","3",18,0.023841059602649
"2","3",2,0.00324675324675325
"5","3",4,0.00921658986175115
"6","3",8,0.0246153846153846
"7","3",33,0.141025641025641
"8","3",11,0.0506912442396313
"10","3",3,0.0162162162162162
"11","3",98,0.796747967479675
"12","3",42,0.39622641509434
"14","3",6,0.103448275862069
"0","4",3,0.00397350993377483
"5","4",340,0.783410138248848
"7","4",2,0.00854700854700855
"10","4",22,0.118918918918919
"11","4",3,0.024390243902439
"0","5",6,0.00794701986754967
"1","5",4,0.00540540540540541
"5","5",2,0.00460829493087558
"6","5",20,0.0615384615384615
"7","5",2,0.00854700854700855
"8","5",162,0.746543778801843
"9","5",20,0.106951871657754
"11","5",10,0.0813008130081301
"12","5",21,0.19811320754717
"14","5",1,0.0172413793103448
"1","6",7,0.00945945945945946
"2","6",2,0.00324675324675325
"3","6",6,0.00996677740863787
"7","6",27,0.115384615384615
"10","6",137,0.740540540540541
"1","7",9,0.0121621621621622
"2","7",18,0.0292207792207792
"5","7",5,0.0115207373271889
"7","7",128,0.547008547008547
"10","7",8,0.0432432432432432
"14","7",1,0.0172413793103448
"7","8",2,0.00854700854700855
"13","8",91,0.989130434782609
"2","9",1,0.00162337662337662
"5","9",2,0.00460829493087558
"6","9",2,0.00615384615384615
"14","9",43,0.741379310344828
