"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"0","0",10174,0.911485396882279
"1","0",3,0.000273747604708459
"2","0",191,0.0196461633408764
"3","0",1,0.000106621174965348
"6","0",421,0.0464526095111994
"7","0",158,0.017895571412391
"10","0",11,0.00169596053037311
"11","0",15,0.00246913580246914
"12","0",14,0.00237650653539297
"13","0",32,0.0066417600664176
"15","0",1,0.000343997248022016
"17","0",32,0.0627450980392157
"1","1",90,0.00821242814125376
"3","1",3,0.000319863524896044
"4","1",9099,0.986341463414634
"8","1",1,0.00011568718186025
"9","1",48,0.00607057038067535
"10","1",2,0.000308356460067838
"11","1",1,0.000164609053497942
"14","1",9,0.00275397796817625
"0","2",3,0.000268769037806845
"1","2",9143,0.834291449949813
"2","2",3,0.00030857848179387
"4","2",51,0.00552845528455285
"6","2",1,0.00011033873993159
"7","2",6,0.000679578661230037
"10","2",2,0.000308356460067838
"11","2",7,0.0011522633744856
"12","2",1,0.000169750466813784
"13","2",1,0.00020755500207555
"15","2",13,0.00447196422428621
"0","3",234,0.0209639849489339
"1","3",6,0.000547495209416918
"2","3",90,0.00925735445381609
"6","3",7318,0.807458898819375
"7","3",1186,0.134330048703137
"8","3",1,0.00011568718186025
"10","3",61,0.00940487203206907
"11","3",31,0.00510288065843621
"12","3",2,0.000339500933627567
"13","3",2,0.0004151100041511
"15","3",4,0.00137598899208806
"17","3",234,0.458823529411765
"3","4",582,0.0620535238298326
"4","4",21,0.00227642276422764
"6","4",7,0.00077237117952113
"8","4",8346,0.965525219805646
"9","4",13,0.00164411281143291
"10","4",68,0.0104841196423065
"13","4",4,0.0008302200083022
"14","4",19,0.00581395348837209
"15","4",1,0.000343997248022016
"3","5",873,0.0930802857447489
"4","5",23,0.00249322493224932
"8","5",3,0.00034706154558075
"9","5",7640,0.966232452257493
"10","5",5,0.000770891150169596
"11","5",3,0.000493827160493827
"13","5",10,0.0020755500207555
"14","5",30,0.00917992656058752
"0","6",9,0.000806307113420534
"3","6",7888,0.841027828126666
"4","6",3,0.00032520325203252
"6","6",2,0.00022067747986318
"8","6",216,0.024988431281814
"9","6",98,0.0123940811938788
"10","6",18,0.00277520814061055
"13","6",127,0.0263594852635949
"14","6",2,0.000611995104039168
"15","6",1,0.000343997248022016
"17","6",1,0.00196078431372549
"0","7",10,0.000895896792689482
"1","7",8,0.00072999361255589
"2","7",208,0.0213947747377083
"6","7",1125,0.124131082423039
"7","7",6919,0.783667459508438
"10","7",36,0.00555041628122109
"11","7",2,0.000329218106995885
"12","7",5,0.000848752334068919
"13","7",2,0.0004151100041511
"15","7",39,0.0134158926728586
"17","7",1,0.00196078431372549
"0","8",317,0.0283999283282566
"1","8",8,0.00072999361255589
"2","8",7031,0.723205101830899
"6","8",18,0.00198609731876862
"7","8",504,0.0570846075433231
"10","8",62,0.00955905026210299
"11","8",17,0.00279835390946502
"12","8",260,0.0441351213715838
"13","8",7,0.00145288501452885
"15","8",2,0.000687994496044032
"17","8",12,0.0235294117647059
"2","9",1,0.00010285949393129
"3","9",3,0.000319863524896044
"4","9",1,0.00010840108401084
"6","9",1,0.00011033873993159
"8","9",5,0.000578435909301249
"10","9",5949,0.917206290471785
"13","9",31,0.00643420506434205
"15","9",1,0.000343997248022016
"0","10",8,0.000716717434151586
"1","10",166,0.0151473674605347
"2","10",242,0.0248919975313721
"6","10",4,0.00044135495972636
"9","10",3,0.000379410648792209
"10","10",4,0.000616712920135677
"11","10",39,0.00641975308641975
"12","10",5045,0.856391105075539
"13","10",1,0.00020755500207555
"15","10",15,0.00515995872033024
"17","10",4,0.00784313725490196
"0","11",267,0.0239204443648092
"2","11",4,0.000411437975725159
"3","11",5,0.000533105874826741
"6","11",34,0.00375151715767406
"7","11",1,0.000113263110205006
"10","11",257,0.0396238051187172
"11","11",2,0.000329218106995885
"13","11",4597,0.954130344541303
"17","11",6,0.0117647058823529
"0","12",91,0.00815266081347429
"1","12",331,0.0302034857195
"2","12",146,0.0150174861139683
"4","12",1,0.00010840108401084
"6","12",98,0.0108131965132958
"7","12",28,0.00317136708574017
"9","12",2,0.00025294043252814
"10","12",5,0.000770891150169596
"11","12",3715,0.611522633744856
"12","12",112,0.0190120522831438
"15","12",246,0.0846233230134159
"17","12",2,0.00392156862745098
"0","13",31,0.00277728005733739
"1","13",3,0.000273747604708459
"2","13",1798,0.184941370088459
"6","13",19,0.00209643605870021
"7","13",1,0.000113263110205006
"9","13",1,0.00012647021626407
"10","13",5,0.000770891150169596
"11","13",2124,0.34962962962963
"12","13",274,0.0465116279069767
"13","13",4,0.0008302200083022
"15","13",1,0.000343997248022016
"17","13",216,0.423529411764706
"3","14",24,0.00255890819916835
"4","14",25,0.002710027100271
"8","14",72,0.00832947709393799
"9","14",102,0.0128999620589351
"11","14",2,0.000329218106995885
"14","14",3208,0.981640146878825
"15","14",31,0.0106639146886825
"0","15",16,0.00143343486830317
"1","15",46,0.00419746327219637
"2","15",5,0.000514297469656449
"6","15",14,0.00154474235904226
"7","15",26,0.00294484086533016
"10","15",1,0.000154178230033919
"11","15",107,0.0176131687242798
"12","15",91,0.0154472924800543
"15","15",2551,0.877536979704162
"0","16",2,0.000179179358537896
"1","16",1155,0.105392827812757
"2","16",3,0.00030857848179387
"4","16",1,0.00010840108401084
"6","16",1,0.00011033873993159
"11","16",10,0.00164609053497942
"12","16",87,0.0147682906127992
"15","16",1,0.000343997248022016
"17","16",2,0.00392156862745098
