"round4_cluster","n_cells","round3_source","round3_cluster","round4_destination","fraction_of_moved_population"
"0",1,"Mural","4","Fibroblast",0.00223214285714286
"3",75,"Mural","4","Fibroblast",0.167410714285714
"6",1,"Mural","4","Fibroblast",0.00223214285714286
"8",1,"Mural","4","Fibroblast",0.00223214285714286
"14",368,"Mural","4","Fibroblast",0.821428571428571
"17",2,"Mural","4","Fibroblast",0.00446428571428571
