"round4_cluster","n_cells","round3_source","round3_cluster","round4_destination","fraction_of_moved_population"
"3",9,"Mural","15","Fibroblast",0.391304347826087
"6",1,"Mural","15","Fibroblast",0.0434782608695652
"11",1,"Mural","15","Fibroblast",0.0434782608695652
"14",10,"Mural","15","Fibroblast",0.434782608695652
"15",1,"Mural","15","Fibroblast",0.0434782608695652
"17",1,"Mural","15","Fibroblast",0.0434782608695652
